"referrer","stat_know","spss","rcran","stata","sas","matlab","python","other","nopro","noanch","rng","full","tries","descr","bonus","type","variance_sd_p_overall","variance_sd_p_study1","variance_sd_p_study2","variance_sd_p_study3","variance_sd_p_study4","gender_fish","gender_fish_df","gender_fish_p","interaction_fish","interaction_fish_df","interaction_fish_p","fish_combine_3","fish_combine_3_p","fish_combine_6","fish_combine_6_p"
"R_cMAtB0JKM1wd5Nb",8,1,NA,NA,NA,1,NA,NA,NA,0,0,0,4,"Put in round numbers for each cell that would generate the main effect with no interactions, then made the numbers ""look"" more real by making them appear more random (i.e. instead of 3,000 - making it 3,042)",1,"qualtrics",1,0.66835,1,0.4767,1,14.2766817441925,8,0.0748328049682255,7.1379222594852,8,0.521827756704511,6.48583326920207,0.371019148997637,8.7734556838741,0.722148858645147
"R_0vzAw1uhXrl3HYF",7,1,1,NA,NA,NA,NA,NA,NA,0,0,0,7,"I first estimated SDs, trying to avoid any consistencies in SDs. Then I decided on the overall pattern of means and filed them in accordingly.",1,"qualtrics",0.9994,0.98749,0.89137,0.91342,0.99139,4.27925956303013,8,0.831089731053089,2.42788374184148,8,0.965009007222709,0.442471068397326,0.998469773088344,0.894853398758909,0.999992394555334
"R_38xRJurCRPdYtxP",6,1,1,NA,NA,NA,NA,NA,NA,0,0,0,10,"What I should have done is go back to the reported means and standard deviations by Kahneman et al. and simulate some data. Now, I basically guessed some means based on what I would answer as a participant in the Kahneman et al. studies and played around with the SDs to get green check marks.",1,"qualtrics",1,0.23845,0.99983,0.24573,1,3.10363136621314,8,0.9276866479003,8.83228854342398,8,0.356640971707154,2.21217390369953,0.89918740337998,7.88674901465165,0.793916759369006
"R_e8KA2KyuDdGa7Rj",7,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"In Excel, I entered the following in a cell: =NORMINV(RAND(),""mean"",""std. dev""). I entered my desired mean and standard deviation for each group, and then copied the function 24 times per group. Then, I calculated the mean and standard deviation of the generated numbers and used those for my responses. ",1,"qualtrics",1,0.83533,0.74028,0.99995,1,7.92305077849733,8,0.44102269687256,7.88778050894333,8,0.444508250129837,3.25889120351362,0.775721713857621,4.22030162320924,0.979124893426675
"R_d6CakeFzNMcsjY1",7,1,1,1,NA,NA,NA,1,NA,0,1,1,1,"In the first ""study"" I filled in values by hand that I thought would be plausible. This took a long time, so in the remaining studies I used excel to simulate data and picked plausible ranges of values for the monte carlos. ",1,"qualtrics",0.99706,0.99997,0.2289,0.16375,0.19296,6.80631622172298,8,0.557666766574403,13.6550282048874,8,0.0912120449789509,5.96301267256947,0.427346179333464,15.815497656758,0.199833510746859
"R_bNueNo2zueuVjs9",6,1,NA,NA,1,NA,NA,NA,NA,0,0,0,4,"First, I made the males and females be identical at a low anchor and high anchor (i.e., 2533.00 for the females in the low anchor baby study, 26.513.00 for the males in the low anchor study). I did the same thing with the standard deviations, keeping in mind the value of the mean (i.e., for a mean of 2,000, the SD would be in the 200 range; for a mean of 26,000, the mean would be in the 2,000 range). Then I adjusted the male means and SDs slightly, all the while ensuring that the conditions were met. ",1,"qualtrics",1,0.24801,0.0056,1,1,11.650441269606,8,0.167494941675501,5.91270609411581,8,0.657009588575552,4.41371758649187,0.620875187391491,17.5722673710728,0.129308583024177
"R_6opw4qQURhqxT3D",6,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,"I used the same procedure per study. I thought we could only try once, so I did that - luckily all of the checkmarks always came out in green anyways. /  / For the lower anchor, I chose a value higher than the anchor but lower than the mean. For the higher, I did the opposite. /  / For the standard deviations, I chose an amount closes to the 10^ whatever power the question was asked in. For example, for the question in thousands, I chose std dev in thousands range. For one in hundreds, I chose it in hundreds range.",1,"qualtrics",1,0,0.99997,0,1,Inf,8,0,Inf,4,0,Inf,0,Inf,0
"R_1KQeAX2cqp2gCEJ",8,NA,1,NA,NA,NA,NA,NA,NA,0,1,0,4,"I fabricated datasets of 64 men and 64 women per condition. My general strategy was to think about what population distributions the data might come from if the hypothesis were true, and then randomly generate numbers from those distributions. /  / For all studies, I began by speculating what number people's guesses would center around per condition, and I tried to create distributions around those numbers. /  / I haven't run anchoring studies, but I figured that responses would be slightly skewed away from the anchor. For the first three studies, I used beta distributions that were skewed accordingly. For the last one (distance from NY to SF), I used normal distributions because the range of plausible values seemed so small. In retrospect, this might have been based on my knowledge of the two conditions, and not representative of how subjects would actually think without that knowledge. /  / For the first three studies, I started by plotting the densities of random beta distributions. I multiplied the randomly generated values by a number that made the distributions as variable as I thought was reasonable and added a number to center the distributions around the value I thought people would center on. For example, for the height of mount everest I used plot(density(rbeta(10000, 3, 10)*10000+5000)) in the low anchor condition. For the last study, I generated normal distributions that looked plausible when I plotted the densities.  /  / Next, for the first three studies I randomly sampled 64 men and 64 women per condition from the distributions I came up with for the low and high anchor conditions. The parameters for men and women were the same within each study. /  / For the fourth study, I realized that you might try to look at the data across studies to look for signs of something fishy. My values for men and women were too similar, so I made slight changes to the population parameters for men and women (both the means and standard deviations) so that the results would like a little more variable. In retrospect, I might try to make slight variations in the parameters for men and women across studies if I were to do it again. /  / This was a fun study, I look forward to seeing the results. /  / After finding probability densities that looked good, I generated random samples of 64 men and 64 women per distribution, and used those to compute the means and standard deviations. ",1,"qualtrics",0.96048,0.08709,0.53946,0.99378,0.89335,21.4661541555671,8,0.00600698900695865,17.7631282034323,8,0.0230741752285591,17.8483900298786,0.00662245845552088,24.1217780197771,0.0195788960663195
"R_9XNpDt2uKwbNcYl",7,1,1,NA,NA,1,1,NA,NA,0,1,0,4,"On half of the studies, I designed to summary statistics to ensure non-overlapping standard errors where necessary.  Moreover, I also scaled the variability in some with the anchor type.  For example, in some of the high anchors I assumed the standard deviations where larger.",1,"qualtrics",0.79981,0.55033,0.94279,0.80469,0.1917,6.64635506556609,8,0.575223524685331,5.87538379031672,8,0.661188467301318,2.38018801984615,0.881628183579764,6.98396724718801,0.858671243771609
"R_8hKoWepYoJSjfBr",4,NA,1,NA,NA,NA,NA,NA,NA,0,1,1,10,"Using the rsnorm() function from the fGarch R package, I simulated negative distributions for the high anchor cells and positive distributions for the low anchor cells. I kept running the function until I got a distribution that made sense to me, changing the sd and mean arguments as I went.",1,"qualtrics",1,0.9861,0.427,0.99131,1,2.28617450247164,8,0.970957681746845,5.64587072361137,8,0.686830675958004,0.810279759358921,0.991795201369653,2.5576732666149,0.997942547409091
