"referrer","partgender","anch1_n","anch1_m","anch1_sd","anch2_n","anch2_m","anch2_sd","anch3_n","anch3_m","anch3_sd","anch4_n","anch4_m","anch4_sd"
"abington",0,24,3249.83333333333,1188.66778430698,22,1995258.22727273,1733993.61790186,19,23741.8421052632,16446.7115262973,21,11297.9047619048,13385.7212652317
"abington",1,44,3656.38636363636,1208.06832580352,53,1513791.16981132,1525670.04309017,54,21251.3703703704,16423.0591769062,54,15461.0185185185,16074.7754636635
"brasilia",0,35,2969.88229857143,1166.18847415705,30,2160135,1480781.28790584,38,21748.9412210526,14940.3454572298,37,14824.8378378378,17463.3849660647
"brasilia",1,38,3083.95742105263,1226.82430623909,28,2234443.53571429,1744216.09857362,38,17138.2948421053,15760.9879304819,41,11287.9512195122,16602.9723588146
"charles ",0,18,2831.75569277778,1036.88288854808,17,3002793.11764706,1088515.13280948,23,27183.9955826087,4444.56294258923,22,21255.1818181818,15848.5450094874
"charles ",1,49,3254.54584469388,1209.42871633189,48,2721061.29166667,1325775.13464528,60,26030.19528,7401.73011401797,51,14979.1960784314,16054.8762586569
"conncoll",0,28,3541.07142857143,1278.96468339656,25,2066419.96,1459413.47883378,29,21181.6896551724,14720.4241037106,26,17564.1538461538,17785.8279935286
"conncoll",1,54,3713.05555555556,1171.84840955157,53,1635248.86792453,1413587.30747836,55,28863.9818181818,14392.0253439071,58,15486.1379310345,14640.207499546
"csun    ",0,17,3392.94117647059,906.013001464951,15,2325000.06666667,1381801.25069731,16,23615.5,13698.4613734536,16,27743.75,16637.2260808906
"csun    ",1,69,3595.82608695652,1198.5384721858,70,1621104.77142857,1543868.14011983,71,27211.2676056338,14542.179124344,67,14483.5223880597,16996.156418757
"help    ",0,20,3162.15193,1380.6590012056,20,1618599.45,1492128.67442377,17,19947.4569882353,16012.7149405201,25,10772.64,14197.5710242985
"help    ",1,53,2995.47235849057,1338.24479074237,61,1842013.06557377,1719586.78893889,48,22515.78865,16867.17409934,59,15016.9830508475,17108.6942099236
"ithaca  ",0,15,3130,769.925784920673,15,1468333.33333333,1378549.53103754,17,20669.4117647059,15272.1529550471,17,14197.0588235294,14139.3342155429
"ithaca  ",1,56,3320.23214285714,1065.65972722102,65,1669551.63076923,1519786.76105337,66,22515.8636363636,17007.6078007519,70,16481.9714285714,16912.047953166
"jmu     ",0,25,3438.88,1170.92002004122,29,2204224.93103448,1504072.82698986,28,21118.7392857143,15134.6700408022,31,14366.3225806452,14242.5891358444
"jmu     ",1,123,3699.45528455285,1066.40065865856,125,1591001.248,1399179.94346704,133,20162.3458646617,15666.3372960437,127,14152.3307086614,14727.1961048934
"ku      ",0,31,3051.16723032258,1300.59396561786,31,2752040.03225806,1378007.26347076,35,22787.0307428571,13169.322126332,39,9286.41025641026,14537.7248377743
"ku      ",1,35,3491.79759171429,1187.24127190704,43,2150346.02325581,1500026.14188832,40,23229.95046,11339.4383602115,52,15853.0384615385,16956.259487352
"laurier ",0,37,3378.32151486486,1323.60531244949,45,2443606.97777778,1434972.50478314,43,16178.7692651163,14454.4020033226,43,15228.8139534884,15101.3011048651
"laurier ",1,30,3360.01685033333,1350.53140005922,53,2065407.41509434,1501841.6418324,42,20741.6862857143,17796.8876577149,56,17071.4821428571,17859.973683164
"lse     ",0,85,3431.24705882353,1223.72744306155,72,2607907.08333333,1435623.34615235,87,21663.2413793103,14512.0734370061,78,12691.5384615385,14092.676317301
"lse     ",1,148,3461.31081081081,1236.5648372071,151,2219817.59602649,1569543.36231982,173,20218.5028901734,16438.5712545519,169,14292.2840236686,15657.3731890364
"luc     ",0,19,2926.31578947368,1200.04264056795,15,1951733.33333333,1461643.42273966,18,12701.6666666667,11897.2682232717,19,18165.7894736842,16278.8893000138
"luc     ",1,106,3533.81132075472,1305.10153674109,107,1752202.78504673,1324290.19276418,118,23097.6949152542,16649.4606172782,111,17283.6396396396,16746.4469717624
"mcdaniel",0,20,3393.6,1232.98061623044,21,2187071,1692820.9358081,20,27142,16437.2340002492,21,12596.2142857143,15042.8183634014
"mcdaniel",1,63,3596.93650793651,1001.17463065393,63,1499235.04761905,1384561.7585547,68,24664.6470588235,14907.6333414705,63,11272.3015873016,13963.0699573333
"msvu    ",0,11,3004.09799727273,1144.29796873527,10,2135070,1520329.3298566,11,13892.6967272727,15504.9397558927,13,16396.1538461538,14057.0335529119
"msvu    ",1,34,3465.45359235294,1377.88617178997,64,1373254.40625,1250197.51784637,38,16714.8126315789,16471.0656365531,68,15829.0147058824,16697.7610855
"mturk   ",0,447,3332.24559284116,1017.8344861164,420,2337576.85,1385093.87327261,454,23730.0088105727,14069.2968602273,447,15567.8814317673,15259.3681694183
"mturk   ",1,479,3524.98077244259,1086.1319669149,452,1989529.67699115,1449809.5117108,487,21825.1519507187,15582.1608419247,482,15460.2800829876,16057.4533571946
"osu     ",0,32,3319.96875,1344.97464862485,30,2346292.6,1505235.78532013,31,23892.1935483871,15999.4302448959,32,18818.8125,16115.9420959846
"osu     ",1,60,3598.76666666667,1357.89310089061,64,1696347.65625,1586699.50359753,62,21657.7580645161,16869.2777223844,61,11935.606557377,16245.3637984079
"oxy     ",0,33,3302.54545454545,1164.92564384248,28,1985714.28571429,1216769.94560562,31,23298.064516129,13665.4218569729,31,10231.3870967742,11637.2428139928
"oxy     ",1,79,3339.82278481013,986.650079029316,80,1945761.25,1450778.81070594,75,25713.8,14976.069172679,79,15502.7848101266,15216.9392738276
"pi      ",0,427,3275.7775175644,957.589993643041,393,2464598.40712468,1290179.54489196,428,24691.8831775701,13207.9730932578,413,15171.5930702179,14439.9631398222
"pi      ",1,765,3527.18444444444,1064.95108089164,716,2050815.23044693,1437329.55876892,773,23585.4514877102,15042.8220479954,763,16681.5321100917,16208.5060987343
"psu     ",0,16,2946.75,1044.9555333442,16,1509833.125,1453009.23420199,15,24985.0666666667,17733.2485158194,11,20505.1818181818,17802.0837927372
"psu     ",1,64,3472.203125,1253.68971857724,69,1739847.92753623,1511253.00649093,72,22527.9583333333,17121.4894404725,73,15145.7671232877,15362.3767452976
"qccuny  ",0,17,3525.29411764706,1174.46859072018,17,2718388.23529412,1544560.49164574,17,21142.3529411765,17990.4962617113,19,12896.6315789474,15455.2830241547
"qccuny  ",1,72,3564.52777777778,1259.15017140415,66,2013635.57575758,1531016.90782993,75,19971.0666666667,16863.5349964525,71,19046.7464788732,17669.0052713124
"qccuny2 ",0,25,3491.32,1068.64020761589,23,1457043.47826087,1310522.1540308,24,23268.8333333333,16313.5895755833,29,19288.5862068966,18678.5420460355
"qccuny2 ",1,49,3605.08163265306,1215.49403256342,45,1494511.13333333,1474565.98125611,53,19439.1698113208,16225.6615483668,45,16853.3777777778,16500.2253363248
"sdsu    ",0,39,3338.30769230769,1076.13837287351,38,1980382.28947368,1362617.06189121,41,21505.6097560976,15333.7092852285,38,18920.5789473684,17018.5091363294
