"id","type","benford_congr_m_p","benford_congr_sd_p","benford_incongr_m_p","benford_incongr_sd_p","terminal_congr_m_p","terminal_congr_sd_p","terminal_incongr_m_p","terminal_incongr_sd_p","std_congr_p","std_incongr_p","mult_m_sd_congr","mult_m_sd_incongr","mult_m_m_across","mult_sd_sd_across","p_f_mult_m_sd_congr","p_f_mult_m_sd_incongr","p_f_mult_m_m_across","p_f_mult_sd_sd_across","fisher_combination","one_min_es_r","es_r"
"cebersole.osu","ml3",6.08423402447954e-104,8.77154223194024e-05,8.55862993960057e-84,1.02365173433675e-16,9.70353745407875e-26,0.0132633737216774,5.2035683407015e-17,0.00212480931262467,0,0,0.583216672946646,0.64884628461644,0.885423287363708,0.364868254248632,2.01780812187435e-06,0.000461863413175787,5.32136141595495e-07,0.487179904396765,1.44240420678447e-61,0.731473409301665,0.268526590698335
"cebersole.ithaca","ml3",1.38334952289741e-224,8.15799338147417e-09,3.56774152343972e-191,1.72658359952011e-32,5.30605016095777e-43,2.92371850068056e-06,3.39819861074541e-22,4.15116830787823e-06,0,0,0.700523696303114,0.706831019266659,0.771563447620645,0.223833270007583,0.666318101861601,0.233683607759171,0.00213535556439413,0.00847463345688109,1.88534283364094e-79,0.773045403241684,0.226954596758316
"cebersole.ashland","ml3",7.30996707505193e-55,0.0141501545745466,9.58272786744014e-49,2.71001194552714e-08,0.000202938000672146,0.0533828129147842,2.74366541386387e-06,0.00494601059204503,0,0,0.758322939333122,0.869955685708088,0.889716074950186,0.480681216325052,0.0255794953359014,1.51413795079132e-17,5.0601948815112e-08,0.000188734362264802,1.65472224558824e-43,0.683528573723319,0.316471426276681
"cebersole.florida","ml3",1.08167341378903e-105,0.000414349997076061,3.94222964660389e-98,4.00898603558777e-12,4.81118202216075e-15,0.0180921295328315,3.09200982198871e-06,0.015566737006152,0,0,0.701259399533489,0.714799330060153,0.767587860832456,0.279465338891197,0.689065196545566,0.398267542723283,0.00103695534504137,0.175260353120474,4.38371552833322e-30,0.751314984396259,0.248685015603741
"cebersole.mississippi","ml3",4.0459400243558e-37,0.0256140602998356,3.60892703787783e-40,1.24278647074264e-07,6.1080382350275e-09,0.222555586971507,8.91814502040624e-09,0.0319508355104637,0,0,0.560523612269494,0.731144972180456,0.758919056464291,0.0298586469563253,4.33637406474847e-08,0.913630124162722,0.000194000180747473,5.79747605803862e-12,4.12548726612896e-42,0.701905168885197,0.298094831114803
"cebersole.carleton","ml3",1.03963929261234e-20,0.0930790558365922,4.45651156678278e-19,0.000794071245597559,0.0192911490749038,0.216645850415185,0.00479134230874785,0.0999218488453042,0,0,0.703725212182301,0.715102246416671,0.820033725179218,0.626648460683119,0.767624568544991,0.405747501665009,0.827759896714356,1.1269127785549e-16,3.5132268955994e-25,0.696098501320553,0.303901498679447
"cebersole.psuabington","ml3",7.09088870587375e-49,0.0776923348188679,8.61834364611876e-62,1.59925469414769e-07,9.18102777006628e-12,0.0268400336597058,2.19206117365293e-05,0.000552432435558343,0,0,0.771247454915441,0.751842831719906,0.907930441828599,0.388533390194994,0.00370881898599756,0.378739675729765,6.76910993261107e-14,0.197872978510226,7.42860549564648e-39,0.729435062863228,0.270564937136772
"cebersole.nova","ml3",6.55376478072931e-73,0.0572983851474909,1.7376449769572e-59,2.94634639739584e-11,2.05558390115533e-18,0.00470148881686132,7.64025367396469e-16,0.00239612219792659,0,0,0.76991700100267,0.691926035768516,0.863350114270876,0.338303102182999,0.00463273148727712,0.0690425301782325,0.00274993684650152,0.965543110522735,5.83548979289363e-45,0.728465353225848,0.271534646774152
"cebersole.miami","ml3",4.01126938488086e-59,0.0027149805185436,1.65944651749626e-57,2.95547374117818e-11,1.39868959462337e-11,0.0642418941471157,7.04274377219674e-08,0.0726783198133996,0,0,0.689290611410732,0.742076148570479,0.756142633255467,0.252390020689566,0.369094269123468,0.685274045134651,0.000110298278072727,0.0475020826045065,9.30044978556017e-29,0.737133400718036,0.262866599281964
"cebersole.virginia","ml3",5.79891324653934e-169,1.53593779862424e-07,6.59328219688115e-134,1.0446378027841e-18,3.02779391783222e-45,0.000622850665504155,2.54382083222043e-23,0.000114301779635758,0,0,0.694166535870323,0.643517849054858,0.675048393185279,0.351204668053209,0.485674110816823,0.000216799852230553,8.63560422709055e-14,0.720402861892546,3.01339198003842e-90,0.757079639879856,0.242920360120144
"cebersole.riverside","ml3",1.82385518339866e-151,2.63391661781586e-06,7.22547456808554e-136,1.02732599493257e-26,6.75847806310205e-29,4.64888267554496e-06,4.33262022934756e-13,8.54038941942275e-05,0,0,0.78983923363992,0.709003665240943,0.873761596754376,0.364211305852969,8.66759623243612e-05,0.272505942977276,9.38448361990924e-05,0.497444225159436,3.94405179484858e-59,0.74164434383412,0.25835565616588
"cebersole.vcu","ml3",4.05395389413361e-55,0.272394642165533,1.73774600859962e-59,8.62252905466078e-09,4.07703182826138e-18,0.0312107453735254,0.000185703317150875,0.0144042419992035,0,0,0.829432509645757,0.772842439592371,0.82119217008415,0.474220805305712,1.51693148371004e-10,0.0501687032920457,0.887605779063013,0.000379747285256475,1.5740170963839e-40,0.698543926074488,0.301456073925512
"cebersole.montana","ml3",2.65437174696158e-93,0.0293032171556108,6.78057781987749e-97,2.08348328095212e-12,1.17863150300047e-13,0.00041410770417349,1.26618931944852e-06,0.0517104179910987,0,0,0.791873116110925,0.832743801281544,0.786211460130657,0.408716326262135,5.30268557392064e-05,2.0763306727591e-08,0.023206787990345,0.0713183913959163,9.12986699136097e-40,0.716898971566915,0.283101028433085
"cebersole.bradley","ml3",2.20834908683544e-72,0.00020075819748521,1.86453169507425e-65,1.38621870203587e-06,2.05447805817099e-20,0.0130288133427963,2.69270268565573e-10,0.00365002754473171,0,0,0.618380883124132,0.733800266955559,0.825223100264164,0.164391357329303,0.000359360594322582,0.988287471026929,0.89856477630805,7.4729417675544e-05,1.61052559261251e-42,0.723809922750378,0.276190077249622
"cebersole.plu","ml3",1.68205258080374e-58,0.00145003687287583,3.2357109272883e-48,1.68085622607715e-11,1.82887649066219e-11,0.000235835432955933,7.47444942465055e-12,0.0468875791393655,0,0,0.755932235612321,0.777333606825972,0.797424028829778,0.42555203814955,0.0346756989614235,0.0277838349425141,0.104420735430027,0.024989337393095,2.08033173351436e-34,0.690827994147093,0.309172005852907
"cebersole.michst","ml3",3.2206028307029e-102,0.000513007018260155,1.99143885726198e-85,5.89810759606528e-15,9.83446975025652e-28,0.0484699339687759,1.6711374762487e-07,0.00655985097765176,0,0,0.657022409692166,0.642012848152756,0.704942765628523,0.0967906904046705,0.0302094719484718,0.000174234161024228,4.57661029221913e-10,5.3416210359802e-08,2.14099314248551e-59,0.77730828455514,0.22269171544486
"cebersole.sdsu","ml3",1.21967439864844e-95,0.00889634159724742,5.93748527254523e-75,8.18613108053434e-12,7.24488940057266e-25,0.000219189669000747,5.37028454235246e-09,0.00136249212575786,0,0,0.727753816938049,0.753834157781685,0.806537124480761,0.395074394830015,0.444851921626595,0.327571274695896,0.282483600605312,0.146022143238937,1.77937279204156e-42,0.738123144123029,0.261876855876971
